string_combination,,id,em,dm,events,lat_play,trips,seeds,tnb,online,ap,tp,string,sum,organization,total_amount,group,color,segment,Opportunities,,,
Lattice Play,,1,0,0,0,1,0,0,0,0,0,0,1000000,1,Lattice Play,22694,Medium,#c1d82f,EB,121,,,
Third Party,,2,0,0,0,0,0,0,0,0,0,1,1,1,Third Party,28107,Medium,#c1d82f,EB,13,,,
Third Party Lattice Play,,3,0,0,0,1,0,0,0,0,0,1,1000001,2,Third Party Lattice Play,26400,Medium,#c1d82f,EB,5,,,
Trips,,4,0,0,0,0,1,0,0,0,0,0,100000,1, Trips ,43190,High,#7AB800,EB,33,,,
Trips Lattice Play,,5,0,0,0,1,1,0,0,0,0,0,1100000,2, Trips  Lattice Play,20000,Low,#DC5034,EB,9,,,
Trips Third Party,,6,0,0,0,0,1,0,0,0,0,1,100001,2, Trips  Third Party,26500,Medium,#c1d82f,EB,2,,,
Trips Third Party Lattice Play,,7,0,0,0,1,1,0,0,0,0,1,1100001,3, Trips  Third Party Lattice Play,14250,Low,#DC5034,EB,2,,,
Account's Play Lattice Play,,8,0,0,0,1,0,0,0,0,1,0,1000010,2,Account's Play Lattice Play,10500,Low,#DC5034,EB,2,,,
Account's Play Third Party Lattice Play,,9,0,0,0,1,0,0,0,0,1,1,1000011,3,Account's Play Third Party Lattice Play,1200,Low,#DC5034,EB,1,,,
Account's Play Trips Lattice Play,,10,0,0,0,1,1,0,0,0,1,0,1100010,3,Account's Play  Trips  Lattice Play,80000,High,#7AB800,EB,1,,,
Events,,11,0,0,1,0,0,0,0,0,0,0,10000000,1,Events,30392,High,#7AB800,EB,3,,,
Events Third Party,,12,0,0,1,0,0,0,0,0,0,1,10000001,2,Events Third Party,12000,Low,#DC5034,EB,1,,,
Events Third Party Lattice Play,,13,0,0,1,1,0,0,0,0,0,1,11000001,3,Events Third Party Lattice Play,22840,Medium,#c1d82f,EB,1,,,
Events Trips,,14,0,0,1,0,1,0,0,0,0,0,10100000,2,Events  Trips ,22750,Medium,#c1d82f,EB,2,,,
Events Trips Lattice Play,,15,0,0,1,1,1,0,0,0,0,0,11100000,3,Events  Trips  Lattice Play,25000,Medium,#c1d82f,EB,1,,,
Online,,16,0,0,0,0,0,0,0,1,0,0,100,1,Online,25504,Medium,#c1d82f,EB,60,,,
Online Lattice Play,,17,0,0,0,1,0,0,0,1,0,0,1000100,2,Online Lattice Play,26730,Medium,#c1d82f,EB,47,,,
Online Third Party Lattice Play,,18,0,0,0,1,0,0,0,1,0,1,1000101,3,Online Third Party Lattice Play,10000,Low,#DC5034,EB,1,,,
Online Trips,,19,0,0,0,0,1,0,0,1,0,0,100100,2,Online  Trips ,42444,High,#7AB800,EB,9,,,
Online Trips Lattice Play,,20,0,0,0,1,1,0,0,1,0,0,1100100,3,Online  Trips  Lattice Play,12043,Low,#DC5034,EB,6,,,
Online Account's Play Lattice Play,,21,0,0,0,1,0,0,0,1,1,0,1000110,3,Online Account's Play Lattice Play,35728,High,#7AB800,EB,1,,,
